iter	Passed	Remaining
753	4759	1552
754	4766	1546
755	4772	1540
756	4779	1534
757	4785	1527
758	4791	1521
759	4798	1515
760	4804	1508
761	4810	1502
762	4816	1496
763	4822	1489
764	4829	1483
765	4835	1477
766	4840	1470
767	4847	1464
768	4852	1457
769	4858	1451
770	4864	1444
771	4870	1438
772	4875	1431
773	4881	1425
774	4887	1419
775	4893	1412
776	4899	1406
777	4905	1399
778	4912	1393
779	4918	1387
780	4925	1381
781	4930	1374
782	4936	1368
783	4943	1361
784	4949	1355
785	4954	1349
786	4961	1342
787	4967	1336
788	4974	1330
789	4980	1323
790	4986	1317
791	4992	1311
792	4998	1304
793	5004	1298
794	5011	1292
795	5017	1286
796	5024	1279
797	5029	1273
798	5036	1266
799	5043	1260
800	5050	1254
801	5057	1248
802	5063	1242
803	5069	1235
804	5076	1229
805	5082	1223
806	5088	1217
807	5095	1210
808	5100	1204
809	5107	1198
810	5113	1191
811	5119	1185
812	5126	1179
813	5132	1172
814	5138	1166
815	5144	1160
816	5151	1153
817	5157	1147
818	5163	1141
819	5169	1134
820	5175	1128
821	5182	1122
822	5189	1116
823	5195	1109
824	5202	1103
825	5208	1097
826	5214	1090
827	5221	1084
828	5228	1078
829	5234	1072
830	5240	1065
831	5247	1059
832	5253	1053
833	5259	1046
834	5265	1040
835	5272	1034
836	5279	1028
837	5285	1021
838	5292	1015
839	5297	1009
840	5304	1002
841	5310	996
842	5316	990
843	5322	983
844	5328	977
845	5334	971
846	5340	964
847	5346	958
848	5353	952
849	5359	945
850	5367	939
851	5373	933
852	5380	927
853	5386	920
854	5392	914
855	5399	908
856	5405	901
857	5411	895
858	5418	889
859	5424	883
860	5431	876
861	5438	870
862	5443	864
863	5450	857
864	5456	851
865	5462	845
866	5469	838
867	5475	832
868	5481	826
869	5487	820
870	5494	813
871	5500	807
872	5506	801
873	5512	794
874	5518	788
875	5525	782
876	5531	775
877	5537	769
878	5543	763
879	5550	756
880	5557	750
881	5564	744
882	5571	738
883	5577	731
884	5583	725
885	5589	719
886	5596	712
887	5603	706
888	5609	700
889	5615	694
890	5621	687
891	5627	681
892	5634	675
893	5640	668
894	5646	662
895	5654	656
896	5661	650
897	5667	643
898	5674	637
899	5680	631
900	5686	624
901	5692	618
902	5698	612
903	5704	605
904	5711	599
905	5717	593
906	5723	586
907	5730	580
908	5736	574
909	5742	567
910	5749	561
911	5754	555
912	5760	548
913	5767	542
914	5773	536
915	5779	529
916	5786	523
917	5792	517
918	5799	511
919	5805	504
920	5811	498
921	5818	492
922	5825	485
923	5831	479
924	5837	473
925	5843	466
926	5849	460
927	5856	454
928	5862	448
929	5869	441
930	5875	435
931	5882	429
932	5888	422
933	5894	416
934	5900	410
935	5906	403
936	5912	397
937	5919	391
938	5925	384
939	5931	378
940	5938	372
941	5944	366
942	5951	359
943	5957	353
944	5963	347
945	5969	340
946	5975	334
947	5981	328
948	5987	321
949	5993	315
950	6000	309
951	6006	302
952	6012	296
953	6018	290
954	6025	283
955	6032	277
956	6039	271
957	6046	265
958	6054	258
959	6060	252
960	6068	246
961	6074	239
962	6081	233
963	6087	227
964	6094	221
965	6100	214
966	6107	208
967	6113	202
968	6119	195
969	6126	189
970	6133	183
971	6139	176
972	6146	170
973	6152	164
974	6158	157
975	6164	151
976	6170	145
977	6177	138
978	6183	132
979	6189	126
980	6196	120
981	6203	113
982	6209	107
983	6215	101
984	6221	94
985	6227	88
986	6233	82
987	6238	75
988	6245	69
989	6251	63
990	6257	56
991	6263	50
992	6269	44
993	6275	37
994	6281	31
995	6288	25
996	6293	18
997	6300	12
998	6306	6
999	6312	0
