iter	Logloss
0	0.65953708
1	0.6337401469
2	0.6059250148
3	0.5832104331
4	0.5624133153
5	0.5447251583
6	0.5278671838
7	0.5124065464
8	0.4996871526
9	0.4881703853
10	0.477578077
11	0.4692989806
12	0.4607999975
13	0.453287848
14	0.4462464432
15	0.4399361035
16	0.4345619038
17	0.4290164899
18	0.4241645561
19	0.4203257091
20	0.4163329132
21	0.4125471002
22	0.4094270394
23	0.4062394996
24	0.4033654161
25	0.4002779571
26	0.3979064029
27	0.3953984993
28	0.3932173843
29	0.3912519042
30	0.3893652722
31	0.3877002068
32	0.3860259011
33	0.3844868659
34	0.3832237458
35	0.3817224099
36	0.3803808488
37	0.3790610136
38	0.3778797679
39	0.3768114623
40	0.3757920446
41	0.3746860651
42	0.3736985197
43	0.3728484715
44	0.3719764944
45	0.37117915
46	0.3704787138
47	0.3697124544
48	0.3689762644
49	0.3682514838
50	0.3676488856
51	0.3670583586
52	0.3665149136
53	0.3659450234
54	0.3653980215
55	0.364866148
56	0.3644515016
57	0.3641809038
58	0.363720499
59	0.3632639134
60	0.3628775473
61	0.3625025726
62	0.3621799703
63	0.3618760686
64	0.3615184453
65	0.3611468938
66	0.3608356116
67	0.3605383042
68	0.3602036061
69	0.359930355
70	0.3597259065
71	0.3594033817
72	0.3592018423
73	0.3588992977
74	0.3586574027
75	0.3584807213
76	0.3583014202
77	0.3580239601
78	0.3578494243
79	0.3576520131
80	0.3574619142
81	0.3572771388
82	0.3570127127
83	0.3567859119
84	0.3564817161
85	0.3561054298
86	0.3559407338
87	0.3557186263
88	0.3555057646
89	0.3551991673
90	0.3550165238
91	0.3547664245
92	0.3546197373
93	0.354487535
94	0.3542944483
95	0.3541464669
96	0.3539007429
97	0.3537600244
98	0.3535889135
99	0.3534003664
100	0.3532244363
101	0.3530392148
102	0.3528216119
103	0.3526440668
104	0.3524403681
105	0.3521381479
106	0.3519350933
107	0.3517277035
108	0.3515716503
109	0.3514876397
110	0.3511596891
111	0.3510628943
112	0.3509631219
113	0.3507126483
114	0.3506095163
115	0.3504694124
116	0.3503630518
117	0.3500846259
118	0.3499757444
119	0.3499235844
120	0.3497544945
121	0.3496494793
122	0.3494374381
123	0.3491732789
124	0.3490262638
125	0.348934944
126	0.3487539115
127	0.3486952096
128	0.3485178737
